년도,행정구역읍면동코드,행정구역읍면동명,노인인구수,노인인구증감율,미성년자인구수,미성년자인구증감율,여자인구수,여자인구수증감율
2021,1162066500,서림동,3535,0.68,1732,-9.98,10349,-3.86
2021,1162068500,신사동,3488,1.69,1776,-8.97,11215,-1.61
2021,1162069500,신림동,1964,1.92,814,-3.33,10563,1.08
2021,1162071500,난향동,2716,-1.49,2486,-6.72,7823,-2.38
2021,1162072500,조원동,2809,2.33,1408,-7.85,8610,-0.85
2021,1162073500,대학동,3050,5.43,1583,-7.54,9284,-0.98
2021,1162074500,삼성동,5541,-3.32,2141,-13.04,10926,-8.18
2021,1162076500,미성동,5855,3.46,3790,-7.38,15562,-2.37
2021,1162077500,난곡동,5429,3.06,2908,-9.89,13325,-3.0
2021,11650,서초구,60574,0.84,76176,-3.79,215245,-2.94
2021,1165051000,서초동,3015,1.48,3226,-7.35,10633,-2.47
2021,1165052000,서초동,3214,23.71,4782,29.24,13701,21.7
2021,1165053000,서초동,4820,3.86,4559,-0.57,16844,2.76
2021,1165053100,서초동,4291,5.53,6949,-3.74,15823,-2.22
2021,1165054000,잠원동,3322,-0.66,5341,-5.25,13893,-5.89
2021,1165055000,반포동,282,-85.47,416,-83.27,1033,-83.62
2021,1165056000,반포동,4036,14.5,7133,8.08,17698,5.86
2021,1165057000,반포동,1977,1.54,4532,-2.1,8209,-2.41
2021,1165058000,반포동,3081,5.77,4904,-1.53,11649,-0.95
2021,1165058100,반포동,2855,1.17,3851,-0.21,10192,-0.26
2021,1165059000,방배동,3083,1.98,4218,-1.36,11242,-0.53
2021,1165060000,방배동,2898,2.55,2390,-5.05,8970,-2.17
2021,1165061000,방배동,3519,0.8,2702,-4.22,10274,-4.51
2021,1165062000,방배동,3393,-8.0,3157,-4.91,9704,-11.84
2021,1165062100,방배동,3553,3.89,4287,-0.3,12821,-0.67
2021,1165065100,양재동,6984,2.72,7746,-7.53,22520,-3.13
2021,1165065200,양재동,2967,3.63,2858,-6.91,10978,-1.91
2021,1165066000,내곡동,3284,2.82,3125,-5.9,9061,-2.29
2021,11680,강남구,78078,4.16,93867,-2.12,277995,-1.15
